City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nizhnesortymskiy,62.4397,71.7603,279.58,74,100,3.33,RU,1683422268
83,fort st. john,56.2499,-120.8529,291.88,34,6,6.15,CA,1683422025
84,varde,55.6211,8.4807,279.52,82,100,5.14,DK,1683422269
85,avarua,-21.2078,-159.775,301.18,83,40,2.06,CK,1683422269
86,tampere,61.4991,23.7871,274.74,79,0,1.79,FI,1683422270
87,mil'kovo,55.6078,37.7956,272.37,66,7,2.67,RU,1683422270
88,savoy,45.5,6.4167,282.49,57,100,1.76,FR,1683422271
89,utrik,11.2278,169.8474,300.5,79,100,7.74,MH,1683422150
90,eenhana,-17.4667,16.3333,290.76,43,13,2.0,NA,1683422272
91,novyy urengoy,66.0833,76.6333,269.44,94,100,3.81,RU,1683422101
92,margaret river,-33.95,115.0667,287.05,89,100,5.59,AU,1683422273
93,constitucion,-35.3333,-72.4167,284.71,92,30,1.1,CL,1683422273
94,ta`u,-14.2336,-169.5144,301.05,73,5,3.75,AS,1683422274
95,shalqar,47.8333,59.6,286.52,28,100,1.83,KZ,1683422274
96,crane,31.3974,-102.3501,303.34,12,39,1.18,US,1683422274
97,tiksi,71.6872,128.8694,259.97,86,86,2.49,RU,1683422275
98,port-aux-francais,-49.35,70.2167,277.04,68,100,13.58,TF,1683421683
99,novouzensk,50.4592,48.1431,282.46,78,99,6.32,RU,1683422276
100,hermanus,-34.4187,19.2345,287.48,84,99,2.33,ZA,1683422276
101,vila velha,-20.3297,-40.2925,296.45,89,75,0.0,BR,1683422277
102,guingamp,48.4167,-3.3333,285.38,99,100,1.9,FR,1683422277
103,atafu village,-8.5421,-172.5159,302.31,74,1,5.42,TK,1683422023
104,susuman,62.7833,148.1667,271.8,61,22,1.3,RU,1683422278
105,charters towers,-20.1,146.2667,298.66,48,47,2.6,AU,1683422278
106,kodiak,57.79,-152.4072,278.88,81,100,0.0,US,1683422278
107,greenwood,34.1668,-82.1165,292.08,76,0,0.0,US,1683422126
108,cockburn town,21.4612,-71.1419,299.6,79,1,8.18,TC,1683422221
109,nago,26.5881,127.9761,300.39,87,100,7.41,JP,1683422280
110,choele choel,-39.2667,-65.6833,289.86,34,1,4.03,AR,1683422280
111,albany,42.6001,-73.9662,289.15,56,45,2.94,US,1683422280
112,margate,51.3813,1.3862,286.97,88,100,1.34,GB,1683422281
113,hvardiiske,45.1209,34.0185,285.24,79,100,7.27,UA,1683422281
114,kirensk,57.7853,108.1119,276.32,80,100,4.32,RU,1683422282
115,alo,7.4178,6.7371,296.42,88,64,1.01,NG,1683422282
116,undurkhaan,47.3194,110.6556,284.12,22,13,4.43,MN,1683422283
117,envira,-7.3,-70.2167,294.75,99,93,0.45,BR,1683422283
118,lazaro cardenas,17.9583,-102.2,301.43,69,0,3.12,MX,1683422284
119,pacific grove,36.6177,-121.9166,289.27,76,40,5.14,US,1683422115
120,virginia,37.5481,-77.4467,291.09,69,40,2.57,US,1683422185
121,puerto ayora,-0.7393,-90.3518,300.12,94,100,2.24,EC,1683422286
122,trapani,37.8333,12.6667,289.41,88,0,1.54,IT,1683422241
123,coquimbo,-29.9533,-71.3436,286.0,87,20,1.54,CL,1683422154
124,san julian,21.0167,-102.1667,301.32,13,94,3.74,MX,1683422288
125,petoskey,45.3733,-84.9553,290.98,52,100,3.6,US,1683422145
126,goiatuba,-18.0125,-49.3547,293.17,66,100,0.69,BR,1683422290
127,east london,-33.0153,27.9116,291.37,74,100,4.62,ZA,1683422291
128,noumea,-22.2763,166.4572,302.14,99,2,2.9,NC,1683422147
129,polyarnyy,69.1989,33.4478,268.95,95,27,2.98,RU,1683422292
130,trail,49.0998,-117.7022,283.33,97,100,0.63,CA,1683422293
131,puerto baquerizo moreno,-0.9,-89.6,299.8,83,79,4.09,EC,1683422295
132,taoudenni,22.6783,-3.9836,307.48,8,100,4.2,ML,1683422296
133,jindabyne,-36.4167,148.6333,276.27,99,100,2.08,AU,1683422296
134,karratha,-20.7377,116.8463,299.87,27,11,9.76,AU,1683422297
135,bayanhongor,46.7167,100.1167,275.88,72,100,3.7,MN,1683422298
136,sisimiut,66.9395,-53.6735,272.96,88,100,2.71,GL,1683422298
137,carnarvon,-24.8667,113.6333,296.22,58,6,3.2,AU,1683422011
138,revda,56.801,59.9303,281.86,68,21,2.11,RU,1683422300
139,stanley,54.868,-1.6985,285.25,95,75,1.03,GB,1683422018
140,ushuaia,-54.8,-68.3,278.96,65,20,1.03,AR,1683422301
141,northam,51.0333,-4.2167,284.63,96,74,1.76,GB,1683422302
142,papao,-17.75,-149.55,302.97,81,34,7.63,PF,1683422302
143,glendive,47.1053,-104.7125,286.87,82,100,5.66,US,1683422303
144,isiolo,0.3546,37.5822,291.89,79,82,2.1,KE,1683422303
145,novo aripuana,-5.1206,-60.3797,296.56,95,49,0.55,BR,1683422304
146,aykhal,66.0,111.5,262.56,88,100,9.74,RU,1683422305
147,segezha,63.7415,34.3222,272.86,83,98,1.95,RU,1683422305
148,la passe,45.5549,-0.8967,289.28,96,51,4.38,FR,1683422306
149,saipan,15.1355,145.701,304.54,100,40,6.71,MP,1683422306
150,reggane,26.7158,0.1714,305.93,7,100,1.44,DZ,1683422232
151,hamilton,39.1834,-84.5333,294.2,69,0,4.12,US,1683422006
152,cabo san lucas,22.8909,-109.9124,301.76,64,75,1.54,MX,1683422126
153,kailua-kona,19.6406,-155.9956,301.64,73,100,3.6,US,1683422024
154,boende,-0.2167,20.8667,294.61,98,96,0.91,CD,1683422309
155,chonchi,-42.6128,-73.8092,282.71,96,17,2.12,CL,1683422270
156,twon-brass,4.3151,6.2418,298.29,82,100,2.05,NG,1683422310
157,tura,25.5198,90.2201,299.17,54,0,2.1,IN,1683422311
158,nemuro,43.3236,145.575,276.81,71,26,2.76,JP,1683422312
159,tshabong,-26.05,22.45,294.98,27,100,10.49,BW,1683422312
160,cartagena del chaira,1.3349,-74.8429,295.98,94,38,0.81,CO,1683422174
161,aroma,15.8167,36.1333,302.45,24,14,4.54,SD,1683422313
162,yallahs,17.8748,-76.5624,302.0,82,100,3.86,JM,1683422314
163,fort bragg,35.139,-79.006,294.06,59,0,0.0,US,1683422314
164,negombo,7.2083,79.8358,298.85,90,100,5.41,LK,1683422315
165,petropavlovsk-kamchatsky,53.0452,158.6483,282.48,43,75,6.0,RU,1683422316
166,sudogda,55.9539,40.8629,270.86,80,8,2.42,RU,1683422316
167,myeik,12.4333,98.6,303.51,70,100,3.61,MM,1683422318
168,igarka,67.4667,86.5833,264.02,78,100,3.08,RU,1683422215
169,ostersund,63.1792,14.6357,275.4,41,98,3.13,SE,1683422319
170,bamboo flat,11.7,92.7167,302.37,73,100,2.52,IN,1683422320
171,kokopo,-4.352,152.2633,303.17,69,41,3.41,PG,1683422320
172,lincoln,40.8,-96.667,296.79,63,0,3.09,US,1683422320
173,zaragoza,41.6561,-0.8773,290.4,76,0,6.17,ES,1683422181
174,boa vista,2.8197,-60.6733,299.14,83,0,2.06,BR,1683422321
175,jiwani,25.05,61.7417,300.07,76,0,3.07,PK,1683422322
176,zhob,31.3411,69.4481,289.0,26,0,2.0,PK,1683422322
177,enewetak,11.3474,162.3373,300.42,83,94,8.09,MH,1683422177
178,okha,53.5739,142.9478,278.23,68,100,5.26,RU,1683422323
179,amherstburg,42.1168,-83.0499,290.34,61,100,5.14,CA,1683422323
180,kerikeri,-35.2268,173.9474,291.83,92,100,4.07,NZ,1683422324
181,togur,58.3631,82.8265,286.53,74,36,2.59,RU,1683422324
182,tazovsky,67.4667,78.7,262.94,94,100,3.29,RU,1683422325
183,hasaki,35.7333,140.8333,289.37,91,100,5.64,JP,1683422325
184,keflavik,64.0049,-22.5624,283.1,93,75,5.66,IS,1683422325
185,tofol,5.3248,163.0078,301.94,78,33,5.51,FM,1683422199
186,hawaiian paradise park,19.5933,-154.9731,298.88,75,75,7.2,US,1683422326
187,glace bay,46.1969,-59.957,275.45,85,40,4.12,CA,1683422327
188,lihue,21.9789,-159.3672,300.73,67,100,8.75,US,1683422077
189,santa cruz,-17.8,-63.1667,290.85,88,75,1.03,BO,1683422099
190,fortaleza,-3.7227,-38.5247,301.22,83,40,3.6,BR,1683422328
191,vadso,70.0744,29.7487,277.24,60,72,5.14,NO,1683422328
192,reyes,-14.3167,-67.3833,294.8,99,67,1.41,BO,1683422329
193,hajin,34.6927,40.827,293.41,52,0,5.03,SY,1683422329
194,chebba,35.2372,11.115,292.63,74,100,5.41,TN,1683422330
195,isafjordur,66.0755,-23.124,278.1,93,99,2.74,IS,1683422330
196,oroshaza,46.5667,20.6667,289.23,71,100,3.22,HU,1683422331
197,invercargill,-46.4,168.35,288.32,71,10,1.06,NZ,1683422331
198,olyokminsk,60.3736,120.4264,277.17,74,100,6.65,RU,1683422331
199,levuka,50.1834,-105.4011,287.99,52,100,7.43,CA,1683422332
200,thinadhoo,0.5333,72.9333,301.63,75,100,8.39,MV,1683422332
201,brookings,44.3114,-96.7984,292.34,67,0,10.29,US,1683422333
202,horta,38.5333,-28.6333,290.94,97,100,14.31,PT,1683422333
203,skelleftea,64.7507,20.9528,271.35,93,41,0.51,SE,1683422333
204,antonio enes,-16.2325,39.9086,294.96,79,9,1.77,MZ,1683422334
205,howard springs,-12.497,131.047,304.19,66,5,6.3,AU,1683422334
206,kralendijk,12.15,-68.2667,300.14,78,40,8.23,BQ,1683422235
207,kutahya,39.4242,29.9833,279.88,87,90,1.75,TR,1683422316
208,masuguru,-11.3667,38.4167,293.47,82,42,0.7,TZ,1683422335
209,kourou,5.1552,-52.6478,298.18,89,100,3.38,GF,1683422336
210,point pedro,9.8167,80.2333,299.43,86,99,4.76,LK,1683422336
211,aasiaat,68.7098,-52.8699,270.91,97,100,1.02,GL,1683422228
212,tolanaro,-25.0319,46.9987,294.11,92,99,4.95,MG,1683422337
213,qalat,32.1058,66.9083,286.22,29,0,4.41,AF,1683422337
214,san agustin,20.5333,-103.4667,305.77,12,75,4.12,MX,1683422338
